client_number,tickets_25_26,tickets_24_25,tickets_23_24,tickets_22_23,tickets_21_22,tickets_19_20,tickets_18_19,tickets_17_18,tickets_16_17,tickets_15_16,tickets_14_15
11014,1,1,1,1,1,1,1,1,1,1,1
11015,1,1,1,0,0,0,1,1,1,1,1
11016,1,1,1,1,1,1,1,1,1,1,1
11020,0,1,1,1,1,1,1,1,1,1,1
11023,1,1,1,1,1,1,1,1,1,1,1
11025,1,1,1,1,1,1,1,1,1,1,1
11028,1,1,1,1,1,1,1,1,1,1,1
11031,1,1,1,1,1,1,1,1,1,1,1
11034,1,1,1,1,1,1,1,1,1,1,1
11041,1,1,1,1,1,1,1,1,1,1,1
11044,1,1,1,1,1,1,1,1,1,1,1
11045,1,1,1,1,1,1,1,1,1,1,1
11048,1,1,1,1,1,1,1,1,1,1,1
11052,0,0,1,1,1,1,1,1,1,1,1
11054,1,1,1,0,0,1,1,1,1,0,1
11060,1,1,1,1,1,1,1,1,1,1,1
11067,0,1,1,1,1,1,1,1,1,1,1
11068,0,1,1,1,1,1,1,1,1,1,1
11070,1,1,1,1,1,1,1,1,1,1,1
11079,0,1,1,1,1,1,1,1,1,1,1
11081,0,1,1,1,1,1,1,1,1,1,0
11083,1,1,1,0,0,1,1,1,1,1,1
11088,1,1,1,1,1,1,1,1,1,1,1
11090,0,1,1,1,1,1,1,1,1,1,1
11091,1,1,1,1,1,1,1,1,1,1,1
11092,0,0,1,0,0,1,1,1,1,1,1
11096,1,1,1,1,1,1,1,1,1,1,1
11097,1,1,1,1,1,1,1,1,1,1,1
11101,1,1,1,1,1,1,1,1,1,1,1
11102,1,1,1,1,1,1,1,1,1,1,1
11104,1,1,1,1,1,1,1,1,1,1,1
11104,1,1,1,1,1,1,1,1,1,1,1
11104,1,1,1,1,1,1,1,1,1,1,1
11104,1,1,1,1,1,1,1,1,1,1,1
11106,1,1,1,1,1,1,1,1,1,1,1
11108,1,1,1,1,1,1,1,1,1,1,1
11111,1,1,1,1,1,1,1,1,1,1,0
11114,1,1,1,1,1,1,1,1,1,1,1
11118,1,1,1,1,1,1,1,1,1,1,1
11119,1,1,1,1,1,1,1,1,1,1,1
11121,0,0,1,1,1,1,1,1,1,1,1
11123,0,1,1,1,1,1,1,1,1,1,1
11125,1,1,1,1,1,1,1,1,1,1,1
11128,1,1,1,0,0,0,0,1,1,1,1
11133,1,1,1,1,1,1,1,1,1,1,1
11134,1,1,1,1,1,1,1,1,1,1,1
11139,1,1,1,1,1,1,1,1,1,1,1
11141,0,1,1,1,1,1,1,1,1,1,1
11153,1,1,1,1,1,1,1,1,1,1,1
11155,1,1,1,1,1,1,1,1,1,1,1
11157,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11160,1,1,1,1,1,1,1,1,1,1,1
11163,0,1,1,1,1,1,1,1,1,1,1
